40 38 16.90 N	75 29 25.00 W
40 38 43.50 N	75 29 33.60 W
40 37 49.80 N	75 28 51.80 W
40 37 47.90 N	75 28 49.10 W
40 37 49.40 N	75 28 49.40 W
40 38 10.00 N	75 29 13.80 W
40 50 09.80 N	75 17 49.30 W
40 20 12.00 N	75 57 25.50 W
40 20 11.80 N	75 57 15.30 W
40 20 27.70 N	75 58 13.00 W
40 20 24.00 N	75 58 40.40 W
40 20 47.00 N	75 57 45.00 W
40 20 50.00 N	75 58 22.00 W
40 21 42.00 N	75 59 18.00 W
40 21 22.00 N	75 58 58.00 W
40 21 27.00 N	75 58 45.60 W
-1
