7.6,12.4,264.0,,,1,0,4,960,480,146400,146400,9
7.2,6.9,243.0,3.05,1840.0,0,1,11,1425,15,446385,80655,1
7.6,19.5,315.0,6.48,2970.0,1,2,5,510,510,202110,202110,8
8.6,26.7,1220.0,,11.0,1,0,6,720,720,249840,249840,9
,14.5,,,,0,0,10,840,600,429960,97080,9
8.3,23.8,533.0,,779.0,1,1,5,1080,360,208440,208440,9
7.2,13.4,590.0,1.28,343.0,0,3,10,60,60,404700,122340,9
6.8,6.1,34.0,1.21,43.0,0,2,12,405,405,507285,19755,1
,26.3,,,,2,0,8,840,600,323400,203640,7
7.6,25.3,423.0,,1510.0,2,2,7,690,690,303090,223950,8
7.7,18.7,329.0,1.81,117.0,0,0,10,990,450,402750,124290,9
7.6,15.9,311.0,2.21,180.0,0,3,10,330,330,402090,124950,9
8.4,4.7,699.0,2.22,45.0,0,2,12,690,690,483090,43950,2
7.9,20.1,168.0,,13300.0,1,1,5,1080,360,207000,207000,9
6.7,15.1,60.0,,59.0,1,3,6,330,330,256650,256650,9
7.5,10.7,222.0,,26300.0,1,2,4,675,675,166275,166275,9
,16.7,,,,0,1,10,1140,300,417300,109740,8
7.2,8.7,238.0,,,0,2,11,480,480,467040,60000,9
7.1,25.7,393.0,,,2,3,9,120,120,364440,162600,7
8.4,13.8,478.0,,135.0,1,3,4,60,60,132540,132540,9
7.4,10.4,48.0,,82.0,1,0,4,930,510,139170,139170,1
8.8,26.0,266.0,,2820.0,1,0,5,945,495,211185,211185,1
7.0,23.6,108.0,,71.0,2,0,7,960,480,267360,259680,8
7.2,25.8,132.0,,36.0,2,1,7,1230,210,286350,240690,8
7.5,23.7,318.0,,,1,1,5,1200,240,214320,214320,9
7.0,20.3,146.0,,,1,2,5,660,660,210900,210900,8
7.1,15.1,128.0,2.34,829.0,0,2,10,555,555,429675,97365,8
8.3,14.5,188.0,,,0,0,10,930,510,414210,112830,1
8.8,28.5,271.0,,2320.0,2,1,7,1260,180,279180,247860,9
8.5,19.4,469.0,,17.0,2,1,9,1080,360,374040,153000,9
7.3,26.8,120.0,,136.0,2,0,7,765,675,288765,238275,8
7.3,16.7,127.0,2.34,829.0,0,0,10,975,465,428655,98385,9
7.5,27.3,499.0,6.0,1050.0,2,2,7,450,450,305730,221310,7
,26.3,,,,2,1,8,1200,240,323760,203280,8
,28.9,,,,2,3,7,30,30,273630,253410,7
7.6,16.1,333.0,7.38,7910.0,0,0,10,900,540,422820,104220,9
7.9,24.1,411.0,,1090.0,1,3,6,0,0,256320,256320,7
7.7,22.5,398.0,,48.0,2,2,8,630,630,307350,219690,8
7.4,6.7,275.0,10.21,2290.0,0,0,12,1020,420,492060,34980,1
7.3,14.9,209.0,,,0,2,10,420,420,418020,109020,8
7.2,18.9,193.0,,,0,1,10,1350,90,403110,123930,8
,13.3,,9.85,,0,1,10,1140,300,423060,103980,9
,25.4,,9.98,,2,2,8,645,645,344805,182235,8
7.7,21.8,411.0,,97.0,2,1,8,1380,60,346980,180060,8
,12.3,,,,1,1,4,1080,360,147960,147960,2
,13.9,,9.82,,0,2,10,405,405,432405,94635,9
8.2,19.4,373.0,,178.0,1,0,6,885,555,234165,234165,1
7.5,4.8,148.0,8.73,15700.0,0,0,12,930,510,513570,13470,1
7.8,12.8,454.0,,58.0,2,0,9,780,660,385260,141780,1
7.7,24.2,296.0,,7190.0,2,3,9,330,330,356010,171030,8
7.8,23.9,468.0,,503.0,2,0,9,960,480,371040,156000,8
7.0,9.5,59.0,2.1,410.0,0,2,10,570,570,436890,90150,9
7.8,9.3,311.0,8.82,11400.0,0,3,10,45,45,437805,89235,9
8.1,14.5,423.0,7.99,977.0,0,1,10,1260,180,414540,112500,9
7.5,9.4,339.0,,63.0,1,3,4,300,300,148620,148620,9
7.5,13.1,267.0,,,1,3,4,150,150,152790,152790,9
7.9,22.3,270.0,,2630.0,2,3,8,210,210,338610,188430,7
7.8,15.9,255.0,,1840.0,2,2,9,690,690,389490,137550,9
,18.2,,,,2,2,9,360,360,390600,136440,8
8.0,25.8,440.0,5.99,1020.0,1,1,6,1170,270,258930,258930,8
7.7,16.4,253.0,,229.0,1,1,5,1290,150,207210,207210,9
7.5,27.1,365.0,,113.0,2,3,7,330,330,271050,255990,7
7.0,8.7,55.0,2.23,462.0,0,3,10,75,75,437835,89205,9
,20.9,,,,2,2,9,480,480,364800,162240,8
,18.4,,9.74,,2,2,9,630,630,387990,139050,8
7.9,23.4,327.0,,1390.0,2,2,7,390,390,289830,237210,8
7.0,22.5,328.0,,1970.0,1,1,6,1410,30,239010,239010,8
7.9,25.4,171.0,,24000.0,1,1,6,1110,330,234390,234390,8
7.5,29.1,462.0,,892.0,2,3,7,150,150,288150,238890,7
