0,1.11,1.46,0.13,365,0.0,733,0.0,0,1.11,1.46,0.13,365,0,733,0.0,0.5
1,2.41,2.59,0.309,1988,0.0,170,0.97,0,1.11,1.46,0.13,365,0,733,0.0,0.15
2,1.42,1.87,0.324,476,0,821,1.37,0,1.11,1.46,0.13,365,0,733,0.0,0.75
3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0,1.11,1.46,0.13,365,0,733,0.0,0.45
4,2.01,2.39,0.38,727,602,95,0.9,0,1.11,1.46,0.13,365,0,733,0.0,0.3
5,2.49,2.63,0.315,1225,0.0,62,12.24,0,1.11,1.46,0.13,365,0,733,0.0,0.38095238
6,2.18,2.72,0.361,1339,0,313,11.78,0,1.11,1.46,0.13,365,0,733,0.0,0.0
7,2.55,3.0,0.411,1491,0,165,3.22,0,1.11,1.46,0.13,365,0,733,0.0,0.3
8,2.35,3.55,0.335,1342,0.0,0.0,1.57,0,1.11,1.46,0.13,365,0,733,0.0,0.3
9,2.31,3.26,0.478,1084,534,0.0,0.0,0,1.11,1.46,0.13,365,0,733,0.0,0.27272727
10,1.67,2.16,0.343,863,0.0,655,1.09,0,1.11,1.46,0.13,365,0,733,0.0,0.1
0,1.11,1.46,0.13,365,0.0,733,0.0,1,2.41,2.59,0.309,1988,0,170,0.97,0.85
1,2.41,2.59,0.309,1988,0,170,0.97,1,2.41,2.59,0.309,1988,0,170,0.97,0.5
2,1.42,1.87,0.324,476,0,821,1.37,1,2.41,2.59,0.309,1988,0,170,0.97,1.0
3,2.18,2.3,0.478,1153,0.0,0.0,1.29,1,2.41,2.59,0.309,1988,0,170,0.97,0.55
4,2.01,2.39,0.38,727,602,95,0.9,1,2.41,2.59,0.309,1988,0,170,0.97,0.6
5,2.49,2.63,0.315,1225,0.0,62,12.24,1,2.41,2.59,0.309,1988,0,170,0.97,0.55
6,2.18,2.72,0.361,1339,0,313,11.78,1,2.41,2.59,0.309,1988,0,170,0.97,0.4
7,2.55,3.0,0.411,1491,0,165,3.22,1,2.41,2.59,0.309,1988,0,170,0.97,0.35
8,2.35,3.55,0.335,1342,0.0,0.0,1.57,1,2.41,2.59,0.309,1988,0,170,0.97,0.6
9,2.31,3.26,0.478,1084,534,0.0,0.0,1,2.41,2.59,0.309,1988,0,170,0.97,0.65
10,1.67,2.16,0.343,863,0.0,655,1.09,1,2.41,2.59,0.309,1988,0,170,0.97,0.1
0,1.11,1.46,0.13,365,0.0,733,0.0,2,1.42,1.87,0.324,476,0,821,1.37,0.25
1,2.41,2.59,0.309,1988,0,170,0.97,2,1.42,1.87,0.324,476,0,821,1.37,0.0
2,1.42,1.87,0.324,476,0,821,1.37,2,1.42,1.87,0.324,476,0,821,1.37,0.5
3,2.18,2.3,0.478,1153,0.0,0.0,1.29,2,1.42,1.87,0.324,476,0,821,1.37,0.2
4,2.01,2.39,0.38,727,602,95,0.9,2,1.42,1.87,0.324,476,0,821,1.37,0.0
5,2.49,2.63,0.315,1225,0.0,62,12.24,2,1.42,1.87,0.324,476,0,821,1.37,0.3
6,2.18,2.72,0.361,1339,0,313,11.78,2,1.42,1.87,0.324,476,0,821,1.37,0.0
7,2.55,3.0,0.411,1491,0,165,3.22,2,1.42,1.87,0.324,476,0,821,1.37,0.09
8,2.35,3.55,0.335,1342,0.0,0.0,1.57,2,1.42,1.87,0.324,476,0,821,1.37,0.4
9,2.31,3.26,0.478,1084,534,0.0,0.0,2,1.42,1.87,0.324,476,0,821,1.37,0.1
10,1.67,2.16,0.343,863,0.0,655,1.09,2,1.42,1.87,0.324,476,0,821,1.37,0.0
0,1.11,1.46,0.13,365,0.0,733,0.0,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.55
1,2.41,2.59,0.309,1988,0,170,0.97,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.45
2,1.42,1.87,0.324,476,0,821,1.37,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.8
3,2.18,2.3,0.478,1153,0.0,0.0,1.29,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.5
4,2.01,2.39,0.38,727,602,95,0.9,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.3
5,2.49,2.63,0.315,1225,0.0,62,12.24,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.25
6,2.18,2.72,0.361,1339,0,313,11.78,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.2
7,2.55,3.0,0.411,1491,0,165,3.22,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.5
8,2.35,3.55,0.335,1342,0.0,0.0,1.57,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.4
9,2.31,3.26,0.478,1084,534,0.0,0.0,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.33333
10,1.67,2.16,0.343,863,0.0,655,1.09,3,2.18,2.3,0.478,1153,0.0,0.0,1.29,0.4167
0,1.11,1.46,0.13,365,0.0,733,0.0,4,2.01,2.39,0.38,727,602,95,0.9,0.7
1,2.41,2.59,0.309,1988,0,170,0.97,4,2.01,2.39,0.38,727,602,95,0.9,0.4
2,1.42,1.87,0.324,476,0,821,1.37,4,2.01,2.39,0.38,727,602,95,0.9,1.0
3,2.18,2.3,0.478,1153,0.0,0.0,1.29,4,2.01,2.39,0.38,727,602,95,0.9,0.7
4,2.01,2.39,0.38,727,602,95,0.9,4,2.01,2.39,0.38,727,602,95,0.9,0.5
5,2.49,2.63,0.315,1225,0.0,62,12.24,4,2.01,2.39,0.38,727,602,95,0.9,0.6
